Gene_Name	interacting_genes
ABHD10	['KCMF1', 'NME4', 'APP', 'CISD3', 'UBC', 'H2AFX', 'HNF4A', 'UBE2A', 'UBE2B', 'FOXK1', 'FOXK2', 'SQSTM1', 'ELAVL1']
ABHD11	['DHRS4', 'ACAD8', 'BOLA1', 'NME4', 'APP', 'UBC', 'FAS', 'SUMO1', 'MDM2', 'C1QBP', 'ECH1', 'NEDD8', 'BOLA3', 'HOGA1', 'CHCHD4']
ABHD12	['TCTN2', 'UBC', 'PEX19', 'SUMO1', 'NEDD8', 'TCTN3', 'SLC39A4', 'DPP9']
ABHD12B	['CD58']
ABHD14A	['A4GALT', 'CEACAM21', 'SCARA3']
ABHD14B	['UBC', 'MTNR1A', 'MCM2']
ABHD16A	['MT-ND4L', 'HNRNPA1', 'UBC', 'IFITM1', 'MLH1', 'ATP5G3', 'SAFB', 'RICTOR', 'DTX2', 'FAM134C', 'HM13', 'MCOLN3', 'HTR3C', 'UPF1', 'DNAJC1', 'RNF5', 'TMEM147', 'TMEM222', 'GPRC5C', 'NXF1', 'PILRB', 'CREB3', 'SPAG7']
ABHD17A	['EHMT2', 'MDFI', 'PLSCR4', 'VPS28', 'HPGDS', 'GPC4', 'RGS20', 'UBC', 'TRIM27', 'KRTAP5-9', 'HOXA1', 'GOLGA2', 'TRAF1', 'BIRC2', 'TNIP1', 'PNMA1', 'TCTEX1D2']
ABHD17B	['FAF2', 'A4GALT', 'UBC', 'HNF4A']
ABHD17C	['UBC']
ABHD18	['UBC']
ABHD2	['UBC', 'ATF2', 'TAF1', 'E2F4']
ABHD3	['HTR3C', 'KLK15', 'UBC', 'ATP1B3']
ABHD4	['TK1', 'UBC', 'CSNK2B']
ABHD5	['PNPLA2', 'PLIN1', 'UBC']
ABHD6	['UBC', 'CKMT2', 'PCGF2', 'HNF4A']
ABI1	['NIN', 'ENAH', 'ZNF511', 'EPS8L3', 'EPS8L1', 'BRK1', 'SYNE2', 'WASF1', 'PIK3R3', 'LHX4', 'DTNBP1', 'CYFIP2', 'MRFAP1L1', 'RBM14', 'SORBS1', 'CDH23', 'EPS8L2', 'HOMER3', 'ABI2', 'KIAA1522', 'SRP68', 'CBLC', 'BAIAP2', 'NCKAP1', 'TLN1', 'MRFAP1', 'WASF2', 'APBB1', 'WASL', 'PIK3R2', 'CACNA1A', 'SOCS7', 'TCERG1', 'INPPL1', 'NCK2', 'GAS7', 'PRPF40A', 'ABL1', 'SPTA1', 'LCK', 'FYN', 'FES', 'YES1', 'LYN', 'HCK', 'FGR', 'UBC', 'HSPA8', 'SRC', 'NCF1', 'VAV1', 'TCF4', 'NCK1', 'FER', 'PLCG1', 'NEB', 'RASA1', 'TAF1', 'PCMT1', 'CBL', 'PIK3R1', 'PPP2R1A', 'RYK', 'ABL2', 'FRK', 'MKI67', 'CRK', 'CRKL', 'VASP', 'DNM2', 'VAV2', 'HNRNPK', 'GRB2', 'CDK6', 'DST', 'SOS1', 'ITK', 'EPS8', 'PRKAA1', 'CBLB', 'GRB10', 'PCM1', 'ODF3L2', 'NHSL1', 'UBXN11', 'NHS', 'KIAA0408', 'RAPH1', 'CYFIP1', 'KTN1', 'THOC6', 'SRRM1']
ABI2	['PCDH10', 'TFIP11', 'NXF1', 'BLOC1S6', 'NCKAP1', 'CCDC53', 'WASF2', 'ARHGAP32', 'SNAP23', 'SDCBP', 'PCDH17', 'HGS', 'EIF3H', 'CRX', 'EFS', 'WIPF1', 'NCK2', 'DTNB', 'STAM2', 'ABL1', 'NTRK1', 'ENO1', 'KRT19', 'UBC', 'KRT13', 'TCF4', 'VCL', 'KRT15', 'PCMT1', 'LMO2', 'PPIF', 'SHMT2', 'KRT20', 'NUP62', 'VASP', 'PRKAA2', 'HNRNPK', 'CDK6', 'AES', 'TRIM32', 'PRKAA1', 'PIN1', 'KRT33B', 'PCM1', 'KRT31', 'TRIP6', 'PRR16', 'VARS2', 'UBXN11', 'KIAA1217', 'CCDC102B', 'CYFIP1', 'IFT20', 'CCDC36', 'ABI1', 'NLGN1', 'ENAH', 'ZNF511', 'CCHCR1', 'TRAF3IP1', 'BRK1', 'WASF1', 'LHX4', 'SH3KBP1', 'GCC1', 'MRFAP1L1', 'PRAM1', 'KIFC3', 'ADAM19', 'ARMC7', 'EGLN3', 'MRPL44', 'MOV10', 'HOMER3']
ABI3	['EVL', 'FARSA', 'WASF2', 'SNAP23', 'EIF3H', 'NCK2', 'DTNB', 'MYC', 'KRT13', 'KRT15', 'PSMA1', 'WAS', 'MAGEA12', 'VASP', 'MAX', 'GRB2', 'RUNX1T1', 'ACTN3', 'PAK1', 'PAK2', 'KANK2', 'KLC3', 'KIAA0408', 'ABI3BP', 'HOMER1', 'ENAH', 'FBF1', 'DTNBP1', 'CYFIP2', 'MRFAP1L1', 'CEP170P1', 'TMEM147', 'NUP58', 'CEP44', 'ARMC7', 'HOMER3', 'KLC4']
ABI3BP	['TFG', 'MBNL1', 'ABI3', 'MYC', 'UBC', 'GOT1', 'GRK5', 'GRB2', 'CBX1', 'FZD5']
